otus	freshwater	soda	soda-saline	saline	tax	type
Otu00633	0	1	1	0	Pedosphaeraceae	soda,soda-saline
Otu00634	0	0	0	1	Bacteriovoracaceae	saline
Otu00639	1	0	0	0	Limnotrichaceae	freshwater
Otu00641	0	0	1	0	NS11-12_marine_group	soda-saline
Otu00642	1	0	0	0	Kapabacteriales_fa	freshwater
Otu00647	0	0	0	1	Rhodobacteraceae	saline
Otu00649	1	0	0	0	Luna1	freshwater
Otu00657	0	0	0	1	Candidatus_Kaiserbacteria_fa	saline
Otu00658	0	0	0	1	Flavobacteriaceae	saline
Otu00659	0	1	0	0	Nitriliruptoraceae	soda
Otu00665	0	1	0	0	Rhodothermaceae	soda
Otu00666	0	0	0	1	Cyanobiaceae	saline
Otu00673	1	0	0	0	alfI	freshwater
Otu00675	0	0	0	1	Bacteroidaceae	saline
Otu00676	0	0	1	0	Saccharimonadales_fa	soda-saline
Otu00679	1	0	0	0	alfIV	freshwater
Otu00681	0	0	0	1	Marinobacteraceae	saline
Otu00686	0	0	0	1	Rhodobacteraceae	saline
Otu00692	0	1	0	0	Rhodobacteraceae	soda
Otu00693	1	0	0	0	env.OPS_17	freshwater
Otu00694	0	1	0	0	Rhodobacteraceae	soda
Otu00696	0	1	0	0	Ilumatobacteraceae	soda
Otu00697	1	0	0	0	Phycisphaeraceae	freshwater
Otu00699	0	0	0	1	Flavobacteriaceae	saline
Otu00700	1	0	0	0	unclassified	freshwater
Otu00707	1	0	0	0	Flavobacteriaceae	freshwater
Otu00710	1	0	0	0	bacV	freshwater
Otu00715	1	0	0	0	Cyanobiaceae	freshwater
Otu00716	1	0	0	0	alfVI	freshwater
Otu00722	1	0	0	0	Comamonadaceae	freshwater
Otu00723	0	0	0	1	Candidatus_Kaiserbacteria_fa	saline
Otu00730	0	0	0	1	Methylophilaceae	saline
Otu00732	0	0	0	1	Idiomarinaceae	saline
Otu00733	1	0	0	0	unclassified	freshwater
Otu00737	0	1	0	0	Nitriliruptoraceae	soda
Otu00741	1	0	0	0	Sporichthyaceae	freshwater
Otu00745	0	1	0	0	unclassified	soda
Otu00750	0	0	0	1	Flavobacteriaceae	saline
Otu00751	0	1	0	0	unclassified	soda
Otu00752	0	1	1	0	Balneolaceae	soda,soda-saline
Otu00760	0	0	0	1	Staphylococcaceae	saline
Otu00761	0	1	1	0	acIV	soda,soda-saline
Otu00762	0	1	0	0	Methylophagaceae	soda
Otu00765	0	1	0	0	Longimicrobiaceae	soda
Otu00771	1	0	0	1	Devosiaceae	freshwater,saline
Otu00775	0	0	1	0	Rhodobacteraceae	soda-saline
Otu00779	0	1	1	0	Saprospiraceae	soda,soda-saline
Otu00783	1	0	0	0	Cyanobiaceae	freshwater
Otu00801	0	1	1	0	Balneolaceae	soda,soda-saline
Otu00804	1	0	0	0	unclassified	freshwater
Otu00810	0	0	1	0	Polyangiaceae	soda-saline
Otu00811	0	1	1	0	acIV	soda,soda-saline
Otu00813	0	0	1	0	Balneolaceae	soda-saline
Otu00816	0	0	1	0	Idiomarinaceae	soda-saline
Otu00820	1	0	1	0	alfI	freshwater,soda-saline
Otu00828	0	1	1	0	Gemmatimonadaceae	soda,soda-saline
Otu00839	0	0	1	0	Chitinophagaceae	soda-saline
Otu00841	0	1	1	0	1peraceae	soda,soda-saline
Otu00843	0	0	1	0	Acetobacteraceae	soda-saline
Otu00845	0	0	1	0	Cyanobiaceae	soda-saline
Otu00849	1	0	0	0	Nostocaceae	freshwater
Otu00861	1	0	0	0	Xanthomonadaceae	freshwater
Otu00875	0	0	0	1	Balneolaceae	saline
Otu00876	0	0	0	1	Rhodobacteraceae	saline
Otu00879	1	0	0	0	Nostocaceae	freshwater
Otu00885	1	0	0	0	Caldilineaceae	freshwater
Otu00915	1	0	0	0	Sericytochromatia_fa	freshwater
Otu00916	0	0	0	1	Rhodobacteraceae	saline
Otu00918	0	0	0	1	Saprospiraceae	saline
Otu00919	1	0	0	0	Luna1	freshwater
Otu00928	1	0	0	0	unclassified	freshwater
Otu00935	0	1	0	0	Rhodobacteraceae	soda
